student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,productivity_score,productivity_label
S1018,24,Other,2,4.9,2.9,Yes,88.3,7.1,Good,2,High School,Good,5,No,43.9,27.14,Low
S1019,19,Male,1.8,2.5,2.4,No,71.1,7.5,Fair,1,High School,Average,2,No,45.3,27.9,Low
S1020,22,Female,3.8,2.3,2.9,No,83,6.4,Good,3,Master,Good,1,No,58.5,36.62,Medium
S1021,21,Male,5.6,2.1,2.4,No,95.6,7.2,Fair,1,High School,Good,3,No,82.5,51.74,Medium
S1022,18,Other,4.9,2.3,0.6,No,84.5,6,Fair,3,High School,Average,7,No,98.7,61.18,High
S1023,24,Female,1.1,4.1,1.4,Yes,90,9,Fair,6,Bachelor,Good,1,No,43.7,26.66,Low
S1024,20,Female,2,0,0.9,Yes,81.8,5.5,Fair,4,Bachelor,Average,2,No,54.9,33.74,Low
S1025,22,Male,4.9,4.3,3.3,No,74.7,9,Fair,1,High School,Average,2,Yes,69.9,43.9,Medium
S1026,22,Male,2,0.8,0.5,No,83.8,6.5,Good,4,Bachelor,Poor,4,No,73.5,44.9,Medium
S1027,18,Male,3.2,2.2,2.8,Yes,88.1,4.8,Fair,5,Bachelor,Average,3,No,71.1,43.94,Medium
S1028,24,Male,4.3,2,2.8,Yes,78.4,8.1,Good,5,High School,Poor,3,Yes,82.8,51.4,Medium
S1029,20,Female,2,3.2,3.8,Yes,82.6,6.7,Poor,6,High School,Poor,10,Yes,75.7,46.22,Medium
S1030,21,Female,3.7,0.6,1.3,No,75.6,7.5,Fair,2,Master,Average,5,No,70.6,43.84,Medium
S1031,17,Other,1.5,3.1,2.6,Yes,96.2,8,Fair,4,Bachelor,Average,3,Yes,51.3,31.38,Low
S1032,20,Other,2.6,4.9,4.3,No,82.1,6.9,Good,3,Bachelor,Good,7,No,52.1,32.3,Low
S1033,18,Female,4,0.9,1.1,No,99.5,5.8,Poor,2,None,Average,5,No,70.7,44.02,Medium
S1034,22,Female,1.1,2.7,0.1,No,100,7.7,Fair,1,High School,Good,4,No,51.2,31.16,Low
S1035,21,Female,4.2,1.7,0,Yes,84.2,6.5,Good,1,Bachelor,Average,3,No,72.6,45.24,Medium
S1036,20,Female,3.5,3,2.6,No,74.9,7.3,Fair,3,High School,Good,4,No,70.7,43.82,Medium
S1037,17,Male,4.3,2.5,0,Yes,64.1,3.9,Good,0,High School,Average,2,No,59.4,37.36,Medium
S1038,17,Male,3.8,1.7,1.4,No,70.3,7,Poor,0,Bachelor,Good,1,No,58.1,36.38,Medium
S1039,19,Male,5.5,3.1,2.3,No,71.3,5.7,Good,1,High School,Average,3,No,82.3,51.58,Medium
S1040,19,Female,3.7,4.7,2,No,98.8,8.5,Good,6,Bachelor,Good,2,No,69.7,43.3,Medium
S1041,23,Female,2.9,2.3,2.3,No,86.2,7.2,Good,6,Bachelor,Average,1,No,66,40.76,Medium
S1042,18,Male,3.7,3.4,2,No,88.9,6.8,Fair,3,High School,Poor,1,Yes,63.5,39.58,Medium
S1043,24,Female,4.3,0.9,3.2,No,62.8,7.1,Poor,0,Bachelor,Good,2,No,65.7,41.14,Medium
S1044,20,Female,3.6,1.4,0.8,No,73,5.3,Good,4,High School,Poor,9,No,78.5,48.54,Medium
S1045,20,Male,3.6,3.1,1.1,No,93.9,8.4,Fair,1,Bachelor,Average,5,Yes,75.1,46.5,Medium
S1046,24,Male,2.4,4.3,1,No,87.9,8.9,Poor,5,High School,Average,9,Yes,71,43.56,Medium
S1047,23,Female,2.5,2.9,2.7,No,83.5,7,Good,4,None,Good,8,Yes,59.7,36.82,Medium
S1048,22,Female,1.4,2.1,2.8,No,90.6,8.4,Fair,3,Bachelor,Good,6,No,52.6,32.12,Low
S1049,22,Female,6.1,2.5,2.3,No,100,5.8,Poor,5,High School,Average,1,No,96.5,60.34,High
S1050,23,Female,1.6,1,3.1,No,82.8,5.5,Fair,4,Master,Good,10,Yes,62,37.84,Medium
S1051,22,Female,2.5,3.2,0.5,No,85.7,6.5,Poor,0,High School,Average,5,No,59.7,36.82,Medium
S1052,19,Female,2.4,3.6,3.6,No,86.9,7,Fair,6,High School,Average,1,No,48.4,30,Low
S1053,20,Female,4.8,2,3.5,No,100,6,Good,0,Bachelor,Good,7,Yes,70.6,44.28,Medium
S1054,23,Female,3.1,1.9,2.6,Yes,64,7.1,Fair,5,High School,Good,10,No,68.1,42.1,Medium
S1055,20,Male,5.4,2.8,3.8,No,91.8,6.9,Good,2,High School,Good,8,No,87.2,54.48,Medium
S1056,24,Male,2.5,2,0,No,83.9,5.3,Good,6,Bachelor,Average,8,No,66.7,41.02,Medium
S1057,17,Male,3.9,2.4,1.2,No,90.7,7.1,Good,1,Bachelor,Average,7,Yes,75.2,46.68,Medium
S1058,19,Female,2.2,5,1,No,78.4,7.5,Poor,5,Master,Average,2,Yes,46.4,28.72,Low
S1059,21,Female,6.7,2.2,2.6,No,84.5,6.7,Good,3,Master,Average,5,Yes,97.1,60.94,High
S1060,19,Female,1.7,2.1,0.6,Yes,92.1,7.9,Fair,1,High School,Average,4,No,61.2,37.4,Medium
S1061,23,Male,4,1.7,2.6,No,100,5,Fair,4,Bachelor,Good,5,No,75,46.6,Medium
S1062,21,Male,4.5,3.4,3.3,Yes,93.1,7.1,Good,6,High School,Good,10,No,94.7,58.62,High
S1063,17,Male,4.1,2.3,2.6,Yes,76.5,5.1,Fair,3,Bachelor,Average,9,No,77.6,48.2,Medium
S1064,23,Male,3.2,1.7,2.1,No,80.8,5.2,Good,3,High School,Poor,4,Yes,68.6,42.44,Medium
S1065,18,Female,3.3,4.1,0.7,No,80.5,5.7,Poor,0,Master,Good,8,No,69.6,43.08,Medium
S1066,20,Male,3.6,4.2,0.9,No,67,5.4,Good,4,Bachelor,Average,8,No,66.5,41.34,Medium
S1067,17,Male,3.3,1.8,3.2,No,81.7,5.8,Poor,0,Master,Good,2,No,62.2,38.64,Medium
S1068,20,Female,4.9,0.3,2.7,Yes,92.3,6.2,Good,0,Bachelor,Poor,6,No,82.1,51.22,Medium
S1069,22,Male,6.8,3.7,1.8,No,72.3,7.5,Poor,6,Master,Average,5,No,100,62.72,High
S1070,18,Female,2.7,1.7,1.3,No,95.5,6.1,Poor,2,Bachelor,Good,2,Yes,59.7,36.9,Medium
S1071,18,Female,1.4,3.4,0,No,89.9,4.6,Fair,0,High School,Poor,10,Yes,55.1,33.62,Low
S1072,17,Male,3.4,0.1,0.6,No,77.7,7.9,Fair,1,High School,Average,4,Yes,77.1,47.62,Medium
S1073,18,Female,7.4,3.6,3.9,No,83.6,5.5,Fair,3,High School,Average,7,Yes,97.7,61.58,High
S1074,21,Female,2.3,1,0.4,No,100,6.4,Fair,6,None,Good,1,No,66.9,41.06,Medium
S1075,18,Female,6,3.4,2,Yes,92.3,7,Fair,0,Bachelor,Good,9,Yes,99.9,62.34,High
S1076,20,Male,6,2.5,2.9,No,85.1,6.7,Poor,5,Bachelor,Average,10,Yes,100,62.4,High
S1077,20,Female,2.7,1.4,0.4,No,82.6,7.8,Fair,1,Bachelor,Poor,1,No,57.2,35.4,Medium
S1078,23,Female,4.4,2,2,Yes,85.8,7.1,Good,4,Master,Good,5,No,77.3,48.14,Medium
S1079,20,Male,5.9,3.3,2.8,Yes,79.9,5.5,Good,3,Master,Average,7,No,91.6,57.32,High
S1080,23,Male,2.9,2.6,1.8,No,64,9.1,Good,6,High School,Good,8,No,70.7,43.58,Medium
S1081,20,Other,3.2,3.2,5,No,100,6.7,Good,5,High School,Poor,2,No,57.6,35.84,Medium
S1082,21,Female,2.6,4.9,0,Yes,86.6,6.3,Fair,6,High School,Poor,4,No,60.2,37.16,Medium
S1083,24,Male,2,0.6,3,No,89,7.7,Poor,6,High School,Good,2,Yes,50.5,31.1,Low
S1084,23,Female,2.5,4.4,1.6,No,84.4,6.8,Fair,5,Bachelor,Average,4,No,51.3,31.78,Low
S1085,19,Male,1.7,2.6,2.6,No,77.6,7,Good,4,Bachelor,Good,6,No,53.5,32.78,Low
S1086,22,Male,3.6,1.4,2.3,No,83.1,9.5,Good,5,Bachelor,Poor,6,No,79.2,48.96,Medium
S1087,17,Male,2.3,0.9,1,No,69,6.2,Fair,1,Master,Average,2,Yes,47.2,29.24,Low
S1088,20,Male,3.9,2.3,2.1,No,100,6.1,Poor,6,Bachelor,Good,4,No,73.4,45.6,Medium
S1089,18,Male,1.2,3.6,0,No,72.7,6.6,Poor,4,High School,Average,4,Yes,41.1,25.14,Low
S1090,24,Male,4,2.3,2.5,No,74.7,7.8,Fair,6,Bachelor,Good,1,No,77.8,48.28,Medium
S1091,20,Female,4.8,4.3,2.1,No,80.6,4.7,Fair,5,High School,Average,2,No,63.4,39.96,Medium
S1092,18,Male,0.5,0.8,2.5,Yes,97.9,4.1,Poor,4,High School,Good,3,No,43.9,26.54,Low
S1093,22,Male,4.1,2.5,3,No,85.1,5.8,Good,4,None,Good,5,No,70.2,43.76,Medium
S1094,22,Female,5.3,1,2.2,No,72.6,4.5,Fair,0,High School,Average,8,No,81.3,50.9,Medium
S1095,22,Male,1.7,2.9,2,No,97.5,6,Good,0,High School,Good,6,No,50.2,30.8,Low
S1096,18,Female,6,3.6,0.8,No,92.3,7.1,Good,0,High School,Good,3,No,87.9,55.14,High
S1097,20,Male,4.1,2,1,No,90.4,5.4,Good,5,Bachelor,Average,6,No,80.9,50.18,Medium
S1098,22,Male,2.4,0,3.1,No,92.2,4.8,Good,3,Bachelor,Good,7,Yes,63.9,39.3,Medium
S1099,21,Male,3.4,2.7,3.4,No,100,6.6,Good,1,High School,Good,6,No,65.6,40.72,Medium
S1100,23,Male,4.3,3,1.5,No,100,7.5,Good,5,None,Average,10,Yes,93.2,57.64,High
S1101,18,Male,3.6,3,1.9,No,78.1,4.5,Good,6,Bachelor,Average,6,No,74,45.84,Medium
S1102,18,Male,4.3,4,0.8,No,100,7.5,Fair,0,None,Average,1,No,60.8,38.2,Medium
S1103,20,Male,2.1,1.2,3.1,No,88.8,7.5,Good,4,Master,Average,3,No,50.4,31.08,Low
S1104,18,Male,3.8,3.3,2.5,No,90,7.6,Good,5,Bachelor,Good,7,No,74.3,46.1,Medium
S1105,18,Male,1.4,3.9,3.9,Yes,68.1,8,Good,4,High School,Average,4,Yes,32.8,20.24,Low
S1106,22,Male,3.3,0.4,0.8,No,83.3,9.1,Good,6,High School,Good,4,Yes,82.3,50.7,Medium
S1107,20,Male,2.1,2.9,1.4,No,76.9,6.1,Fair,4,None,Average,7,No,60.4,37.08,Medium
S1108,22,Female,2.4,1.9,2.1,No,93.3,6.6,Poor,4,High School,Average,9,Yes,60,36.96,Medium
S1109,23,Female,5.4,2.4,2.5,No,95.7,6,Fair,2,High School,Good,2,No,77.5,48.66,Medium
S1110,24,Male,5.1,2.9,1.6,No,64.3,6.5,Fair,3,Bachelor,Average,9,Yes,86.5,53.94,Medium
S1111,23,Female,4.4,1.9,0.8,No,84.8,8.3,Good,1,High School,Average,3,No,76.9,47.9,Medium
S1112,24,Female,1.9,1.7,2.8,No,96.2,4.9,Fair,1,Bachelor,Poor,6,Yes,43.9,27.1,Low
S1113,22,Male,3,2.5,2.6,No,83.1,5.5,Fair,0,Bachelor,Average,4,No,51.3,31.98,Low
S1114,23,Female,5.3,1.2,0.8,No,92.3,8.2,Fair,2,High School,Average,1,No,83.3,52.1,Medium
S1115,20,Female,3.7,1.2,3.3,No,88.5,7.7,Poor,5,None,Good,9,No,82.7,51.1,Medium
S1116,17,Male,7,3.3,3.1,No,88.4,6.1,Good,5,None,Average,6,Yes,94.8,59.68,High
S1117,22,Male,4.1,1.1,1.9,No,82.3,7.5,Good,1,None,Good,8,No,80.8,50.12,Medium
S1118,24,Female,3.8,3.3,1.9,No,72.8,6.9,Poor,3,Bachelor,Good,2,Yes,58.3,36.5,Medium
S1119,21,Female,3,3.1,2.4,Yes,73.8,8.3,Fair,4,High School,Average,7,No,66.3,40.98,Medium
S1120,24,Male,3.7,0.4,0.9,No,92.1,6.6,Fair,6,Bachelor,Average,6,No,87.9,54.22,Medium
S1121,21,Male,3.3,1.7,1.8,No,85.2,7.7,Poor,0,High School,Good,2,No,60.5,37.62,Medium
S1122,18,Male,4.6,3.9,0,No,83.6,9.7,Poor,3,High School,Good,2,No,84.8,52.72,Medium
S1123,23,Female,4.9,1.3,2.8,No,80.8,7.2,Good,1,Bachelor,Average,4,No,77,48.16,Medium
S1124,21,Female,2.3,1.9,0.1,No,81.9,6.6,Fair,2,Bachelor,Average,4,No,61.7,37.94,Medium
S1125,24,Male,1.5,3.1,3.5,No,95.5,7.4,Fair,0,High School,Average,3,No,44,27,Low
S1126,18,Male,0.7,3.4,1.4,Yes,81.6,6.1,Poor,1,High School,Poor,8,No,42.4,25.72,Low
S1127,17,Female,4.3,2.2,1.6,No,71.6,9.4,Good,5,Bachelor,Good,7,No,88,54.52,Medium
S1128,20,Male,1.8,1.8,1.1,No,92.4,6.7,Good,0,High School,Good,2,No,48.7,29.94,Low
S1129,20,Male,0.3,4.2,1.5,No,83,6.2,Good,1,High School,Average,3,Yes,26.8,16.2,Low
S1130,20,Female,4.1,4.6,3.4,No,85.3,5.5,Poor,5,Bachelor,Good,10,No,81.6,50.6,Medium
S1131,21,Female,7.2,3.7,0,No,100,7.8,Good,6,High School,Good,9,No,100,62.88,High
S1132,17,Female,3.5,2.6,3.2,Yes,84.8,7.5,Fair,5,Bachelor,Average,5,Yes,74,45.8,Medium
S1133,21,Female,4.8,1.5,2.2,No,87.9,5.9,Fair,4,Bachelor,Poor,2,Yes,78.4,48.96,Medium
S1134,23,Male,3.6,1.5,0.5,No,73.2,7.2,Fair,2,Bachelor,Good,3,No,70.7,43.86,Medium
S1135,21,Male,3.4,3.1,0.6,No,82.8,4.7,Fair,4,Bachelor,Good,8,No,74.3,45.94,Medium
S1136,17,Female,4.9,3,3.6,No,91.1,6.7,Good,1,Bachelor,Good,4,No,67.6,42.52,Medium
S1137,17,Male,3.1,4.2,0.8,No,69.4,7,Good,6,Bachelor,Poor,2,No,64.7,40.06,Medium
S1138,23,Male,3.9,3.3,0.5,No,87,8.5,Fair,3,Master,Average,2,No,64.1,40.02,Medium
S1139,17,Male,4,0.7,3.1,No,86,5.6,Good,6,High School,Poor,6,No,83.5,51.7,Medium
S1140,24,Male,2.5,3.8,2.2,No,85.4,5,Good,6,High School,Good,8,No,63.4,39.04,Medium
S1141,17,Male,5,1.3,0.8,No,95.4,5.4,Good,6,Bachelor,Good,7,No,96.2,59.72,High
S1142,20,Male,3.2,2,2,No,88.3,4.9,Fair,4,Bachelor,Poor,4,Yes,65.4,40.52,Medium
S1143,24,Male,2.4,2.8,0.7,No,99.8,8.1,Fair,3,None,Good,2,No,62,38.16,Medium
S1144,24,Male,4.3,4.9,3,No,75.1,8.4,Fair,5,Master,Good,9,Yes,74,46.12,Medium
S1145,23,Female,2.2,6.2,3,No,86.4,6.9,Good,1,None,Good,4,No,46.7,28.9,Low
S1146,19,Female,3.5,3.2,2.4,No,85.8,8,Poor,2,Bachelor,Good,9,No,75.5,46.7,Medium
S1147,19,Female,3.5,2.3,2.2,No,74.3,6.7,Fair,3,Bachelor,Poor,5,Yes,78.1,48.26,Medium
S1148,17,Female,5.1,3.1,3.7,No,94.6,6.4,Fair,1,Master,Good,7,No,85.2,53.16,Medium
S1149,24,Female,4.2,3.6,1.8,Yes,100,6.1,Fair,3,None,Poor,5,No,75.4,46.92,Medium
S1150,19,Male,3.5,2.1,0.5,Yes,84.8,6.1,Good,4,Bachelor,Average,2,No,64.2,39.92,Medium
S1151,19,Female,4.7,4.7,2.3,No,90.1,4.6,Good,1,High School,Good,6,No,69.7,43.7,Medium
S1152,17,Female,5.6,2.8,4.1,No,85.8,6.8,Good,4,High School,Good,7,No,90.3,56.42,High
S1153,19,Female,4.3,3.1,0.7,No,77.9,6.5,Good,0,None,Average,6,No,81.4,50.56,Medium
S1154,21,Male,3.5,3.3,1.4,No,66.8,7.4,Fair,1,Bachelor,Good,3,No,65,40.4,Medium
S1155,18,Male,1.5,3,2.3,No,77.9,6.6,Fair,3,High School,Good,10,No,57.3,34.98,Low
S1156,23,Male,1.9,3.5,1.7,Yes,71.1,6.3,Fair,0,High School,Good,8,No,57.7,35.38,Medium
S1157,18,Male,3,1.8,0.7,No,100,5.5,Poor,4,Bachelor,Poor,3,No,56.7,35.22,Medium
S1158,17,Female,2.6,1.8,3,No,83.8,6.6,Fair,4,Bachelor,Good,5,Yes,62.3,38.42,Medium
S1159,20,Female,3.2,1.2,4.4,No,81.5,7.4,Good,3,Bachelor,Average,9,No,77.9,48.02,Medium
S1160,23,Male,3.6,3,2,No,93.9,5.1,Fair,0,Master,Average,5,No,65.2,40.56,Medium
S1161,17,Other,4.3,3.4,0.8,No,73.8,6.6,Good,6,High School,Average,7,No,76.8,47.8,Medium
S1162,24,Female,3.4,3,0.1,No,77.3,6.8,Fair,5,Master,Average,7,No,83.8,51.64,Medium
S1163,20,Male,4.2,4.5,2.1,No,85.7,5.6,Poor,2,Master,Good,5,No,70.6,44.04,Medium
S1164,18,Male,3.6,2.5,3,No,95.3,5.8,Poor,3,High School,Average,2,Yes,63.1,39.3,Medium
S1165,17,Male,0.5,3.3,2.3,No,90,6.8,Fair,4,High School,Good,5,No,39,23.6,Low
S1166,24,Male,2.1,1.2,1.8,No,87.5,5.1,Fair,1,High School,Average,7,No,66.7,40.86,Medium
S1167,23,Male,3.3,2,1.2,Yes,85.8,6.9,Poor,0,High School,Good,7,No,72.2,44.64,Medium
S1168,23,Male,1.7,3.3,0.6,No,89,5.4,Fair,5,Bachelor,Good,4,Yes,50.1,30.74,Low
S1169,22,Male,4.4,3.5,2.7,Yes,87,7.8,Fair,2,Bachelor,Good,1,No,62.4,39.2,Medium
S1170,24,Male,5.8,2.1,2.8,No,74.7,9.3,Fair,1,Bachelor,Good,6,No,96.6,60.28,High
S1171,21,Female,5.3,2.4,0.1,No,85.5,5.5,Good,0,Bachelor,Good,3,Yes,85.8,53.6,Medium
S1172,19,Male,3.2,0.7,3.5,No,74.3,7.1,Good,5,High School,Good,5,No,68.3,42.26,Medium
S1173,20,Female,5.7,2.1,2.4,No,85.8,5.6,Fair,3,Master,Good,4,Yes,83.8,52.56,Medium
S1174,24,Male,3.7,3.6,3.3,Yes,80.2,7.7,Good,5,High School,Poor,2,No,69.3,43.06,Medium
S1175,22,Other,3,3.2,0.3,No,100,5,Good,3,Master,Good,7,No,65.3,40.38,Medium
S1176,19,Male,2.6,3.1,0.3,No,84.6,7.1,Good,6,High School,Average,5,Yes,77.5,47.54,Medium
S1177,19,Male,3,2.6,1.6,No,71,5.5,Fair,0,Master,Average,7,Yes,55,34.2,Low
S1178,17,Other,2.9,2.5,2.4,Yes,83.7,6.3,Poor,5,None,Good,9,No,65.2,40.28,Medium
S1179,19,Female,3.8,1.7,3.8,No,90.2,5.3,Good,2,High School,Average,4,No,58.1,36.38,Medium
S1180,21,Female,3.7,3.3,2.6,Yes,100,7.5,Fair,5,None,Good,5,No,69.2,43,Medium
S1181,23,Male,3.5,3,1.5,Yes,79.1,5.5,Good,0,Bachelor,Average,9,No,67.4,41.84,Medium
S1182,22,Male,4.2,3.1,0.7,No,69.2,7.2,Good,1,Master,Poor,10,No,79.9,49.62,Medium
S1183,19,Female,5.3,1.9,3.2,No,93.2,6.1,Fair,1,High School,Average,4,Yes,85.7,53.54,Medium
S1184,17,Female,4.9,0,0.7,No,71.2,6.4,Fair,5,Master,Poor,5,No,96.2,59.68,High
S1185,21,Female,1.3,3.8,3.6,Yes,80.6,6.7,Fair,5,Bachelor,Good,5,No,40.4,24.76,Low
S1186,18,Female,0,1.9,1.5,No,82.4,5.6,Fair,3,Bachelor,Average,8,No,55.2,33.12,Low
S1187,23,Male,4.9,1.5,3.5,No,84.3,6.8,Fair,0,Bachelor,Average,4,No,73.8,46.24,Medium
S1188,23,Female,1.4,3.3,2.5,No,91.9,8.3,Fair,3,High School,Poor,4,Yes,46.5,28.46,Low
S1189,22,Male,3.2,2,1.6,No,78.2,5.6,Fair,2,High School,Average,7,Yes,60.5,37.58,Medium
S1190,23,Male,1.7,3.8,1.2,No,82.3,7.9,Poor,6,Master,Good,5,No,55.4,33.92,Low
S1191,19,Male,0.8,3.2,1.4,No,84.9,8.3,Good,1,Master,Average,6,No,45.1,27.38,Low
S1192,17,Female,4.3,3.3,2.3,No,86.5,5.5,Poor,4,Master,Good,6,No,69.4,43.36,Medium
S1193,23,Male,4.6,0.9,1.9,No,86,4.8,Good,4,Master,Good,6,No,81.3,50.62,Medium
S1194,23,Male,2.6,4,1.1,No,89.4,6.9,Good,0,High School,Good,10,No,66.6,41,Medium
S1195,18,Female,0,2.8,1.6,No,93.4,5.8,Fair,0,Bachelor,Good,5,No,26.7,16.02,Low
S1196,18,Male,2.7,2.1,1.9,No,88.9,8.7,Good,4,High School,Poor,5,No,64.5,39.78,Medium
S1197,20,Female,4.1,2.7,0,No,89.5,6.5,Fair,0,Master,Average,9,Yes,87.1,53.9,Medium
S1198,21,Male,1.3,0.4,2.3,Yes,69.2,5.5,Good,1,High School,Good,8,Yes,42.2,25.84,Low
S1199,19,Female,3.8,3,0.7,No,85.5,5.1,Fair,2,Bachelor,Good,4,No,61.6,38.48,Medium
S1200,23,Female,3.5,1.3,0.5,No,89.8,7.8,Fair,2,Bachelor,Good,7,No,81.9,50.54,Medium
S1201,24,Male,4.4,0.9,0,No,92.3,5.8,Fair,3,High School,Good,8,No,96.5,59.66,High
S1202,23,Male,3.7,0.7,0,No,78.1,6.6,Fair,1,None,Average,9,No,85.1,52.54,Medium
S1203,17,Male,2,3.8,0.3,No,78.4,7.6,Fair,6,Master,Poor,5,No,58.5,35.9,Medium
S1204,20,Male,5.3,1.7,1,No,79.3,5.9,Fair,0,Bachelor,Good,3,Yes,78.4,49.16,Medium
S1205,21,Other,3.3,4.3,3.9,No,90.4,6.4,Fair,0,High School,Good,4,No,56.4,35.16,Medium
S1206,24,Male,3.5,1.9,1.2,No,95.3,6.5,Poor,6,Bachelor,Average,10,Yes,92.6,56.96,High
S1207,20,Female,2.1,0.5,2,No,80.9,7.3,Poor,3,Bachelor,Good,6,Yes,62.3,38.22,Medium
S1208,22,Male,2.8,1.2,2.2,Yes,94.1,7.2,Fair,3,High School,Average,10,No,75.8,46.6,Medium
S1209,21,Female,2.2,4,1.9,No,86.2,6.2,Poor,0,High School,Average,5,Yes,47.1,29.14,Low
S1210,23,Female,3.2,2.3,1.7,Yes,83.8,6.6,Poor,0,Master,Good,9,No,66.3,41.06,Medium
S1211,23,Female,6.1,1.8,0.5,No,82.9,6.1,Good,6,Bachelor,Good,3,Yes,98.3,61.42,High
S1212,21,Male,1.4,2.7,3.4,No,92.5,4.7,Poor,1,Bachelor,Average,2,Yes,29.7,18.38,Low
S1213,23,Male,1.1,3.1,3.8,No,88.3,6.8,Good,6,Bachelor,Poor,6,No,45.5,27.74,Low
S1214,19,Male,5.7,3.8,0,No,100,8.8,Fair,3,None,Average,7,No,100,62.28,High
S1215,21,Female,3.2,4.2,0.7,No,76.5,5.4,Good,6,High School,Good,5,Yes,67.5,41.78,Medium
S1216,20,Female,2.5,2.1,1.5,No,90.2,5.6,Fair,6,High School,Average,1,Yes,60.3,37.18,Medium
S1217,21,Other,5.1,0.9,0.7,No,79.7,5.5,Fair,6,High School,Good,3,No,87,54.24,Medium
S1218,24,Male,2.6,2,2.4,No,76.3,7.4,Fair,1,Bachelor,Good,3,No,48.5,30.14,Low
S1219,23,Female,6.2,2.8,1,No,84.9,7,Fair,5,Master,Good,4,No,100,62.48,High
S1220,19,Female,4.5,1.3,4.2,No,86.4,6.3,Fair,0,High School,Average,10,No,82.1,51.06,Medium
S1221,19,Male,2.8,1.4,3.1,No,100,5.4,Poor,4,High School,Good,6,Yes,63.7,39.34,Medium
S1222,22,Male,6.7,2.9,2,No,83.2,6.6,Good,6,Bachelor,Average,5,No,100,62.68,High
S1223,20,Female,2.6,2.4,2.9,No,73.7,4.6,Fair,4,Master,Average,1,No,41.9,26.18,Low
S1224,18,Female,4.6,2.5,3,No,87.7,6.7,Fair,5,Bachelor,Poor,6,No,72.7,45.46,Medium
S1225,18,Female,3.9,1.6,1.2,No,64.3,7.5,Good,0,Master,Average,9,Yes,74.3,46.14,Medium
S1226,21,Male,5.5,2.2,0.9,Yes,84.1,5,Fair,3,Bachelor,Good,1,No,88.7,55.42,High
S1227,22,Female,5.8,1.4,1.9,No,85.2,4.7,Good,4,Bachelor,Average,8,Yes,96.6,60.28,High
S1228,17,Male,3.5,3.6,2.7,No,92.9,8.4,Fair,3,High School,Average,8,Yes,72.6,44.96,Medium
S1229,21,Male,2.4,3.7,2,No,94.7,5.8,Good,4,High School,Good,3,Yes,52.4,32.4,Low
S1230,22,Male,4.2,0.3,0.1,No,80,7.9,Poor,3,High School,Poor,9,Yes,100,61.68,High
S1231,20,Female,2.5,1.4,0.9,No,83.5,6.3,Good,6,Bachelor,Good,8,No,73.1,44.86,Medium
S1232,20,Female,6.5,0.7,1.7,No,77.3,6.3,Good,4,Master,Average,3,No,100,62.6,High
S1233,20,Female,3.7,1.7,1.7,No,73.7,7,Fair,3,Master,Poor,10,Yes,80.8,49.96,Medium
